,collocate,raw_frequency,MI
366,slightly,788,5.204403893589683
434,somewhere,826,5.1364577416266135
114,refused,833,5.124283027680511
297,throw,861,5.076586285649215
49,lies,877,5.050022680601326
91,large,3569,5.025151526997036
382,playing,894,5.0223246918627416
210,ma,905,5.004681731075491
65,white,6358,4.999453333965687
143,movement,923,4.976268875400285
230,harm,947,4.939235097577674
273,laugh,1978,4.876629002286949
443,meanwhile,1003,4.856349822433878
134,inside,1012,4.843462138351749
386,sick,1021,4.830688562168257
348,waiting,2061,4.817326923506803
249,lead,1072,4.760366522588287
201,charles,1100,4.723167904634037
326,queen,1127,4.688183912873838
73,seated,1149,4.660292630399946
294,following,1163,4.642820331572841
320,fine,3491,4.641993572214462
331,third,1164,4.641580370137775
314,thin,1174,4.629239019936007
372,legs,1193,4.606077385350831
33,o,5965,4.606077385350831
105,keep,5007,4.536724972962304
52,terrible,1261,4.526103152717839
138,green,2635,4.462868466521482
298,shop,1343,4.435212123618617
444,lives,1366,4.410713944755969
328,running,1367,4.409658185439999
442,darling,1406,4.3690748339735235
113,ways,1414,4.36088930823666
169,jane,1438,4.336607752606762
220,sitting,2926,4.3117416589075725
38,ready,3009,4.271387321712722
192,trying,1509,4.267078622519376
0,a,313437,4.262126701793432
125,let,10757,4.240822472138527
18,poor,9350,4.220667564104854
180,ha,1577,4.203488768255549
199,whose,4753,4.19679552746488
412,watched,1643,4.144338948095985
110,walked,3387,4.1006634415519025
319,touch,1705,4.090899689134524
384,trust,1720,4.078262863456599
155,round,8852,4.03659607213241
422,mere,1867,3.9599495008198575
116,reached,1881,3.949171579522864
4,s,98437,3.911967985074248
291,beside,1967,3.884674470767529
55,old,20025,3.858869185749987
31,great,16101,3.8515930395518385
351,strange,4034,3.848460344433098
318,struck,2185,3.7330381486580984
419,usual,2224,3.7075146403225516
334,seeing,2293,3.6634350734652656
394,human,2365,3.618831244819302
263,save,2418,3.5868571837969356
381,whom,7331,3.5716239235646587
94,young,14673,3.5705419637082696
342,dear,10037,3.5334152128013283
14,does,5025,3.531547832092406
133,saw,10308,3.4949788911864395
310,ran,2586,3.4899491532358047
202,garden,2602,3.4810504663282638
195,got,7855,3.4720226535856566
299,says,5287,3.4582221016651173
235,silent,2667,3.445453603495133
431,loved,2766,3.392870271895565
287,deal,2796,3.377307067670623
45,or,40419,3.331064626881778
217,quiet,2890,3.329601935658018
163,sent,2898,3.32561383348913
25,has,20286,3.32561383348913
283,sometimes,2907,3.321140356909822
162,taking,2926,3.3117416589075725
63,going,8989,3.277473300049023
109,opened,3006,3.2728264191296947
279,soul,3203,3.181247630271376
411,beautiful,3222,3.1727149343394903
22,as,118566,3.1410498782599183
241,above,3316,3.131227421550309
429,across,3316,3.131227421550309
48,thus,3334,3.1234173240596426
286,master,3378,3.1045021002446735
103,looked,13768,3.0774243310058558
186,such,17429,3.059181632094664
2,ah,3499,3.05372876380621
204,after,17578,3.0469004963681474
421,making,3519,3.0455059142963945
27,happy,3560,3.0287941871922994
276,same,7307,2.991392221040964
42,head,11085,2.975097064012546
307,bed,3775,2.944194783946256
126,out,34685,2.914356450356917
417,pretty,3902,2.896457650437033
396,rather,7815,2.8944255551590325
397,else,3937,2.883574715887018
68,replied,3976,2.869353671483773
6,the,716071,2.8605283749348245
370,won,4078,2.8328096530294626
17,came,16408,2.8243439365662075
338,looking,8219,2.8217085554992987
151,near,4122,2.817326923506803
399,hard,4144,2.8096474253595054
272,make,12471,2.805128680421687
290,upon,20805,2.8037411400013004
371,half,8402,2.789938642559542
148,care,4330,2.746304403431972
174,sort,4347,2.740651332767974
121,an,40487,2.691209588577296
251,took,9099,2.674963429700732
156,however,4595,2.6606065668696623
306,coming,4611,2.6555917626341317
145,lay,4651,2.643130488521448
233,small,4700,2.6280106715936973
165,left,9449,2.620509773270298
364,passed,4807,2.5955346249081637
131,also,4823,2.5907406182841637
324,herself,9664,2.5880509737209803
265,up,34684,2.551827965777986
295,leave,4969,2.5477158864959493
